id,hospital_1,hospital_2,subway_1,subway_2,school_1,school_2
6037120010.0,1.0,2.0,9,10,1,1
6037120020.0,1.0,3.0,8,9,1,1
6037120030.0,2.0,3.0,8,9,1,1
6037120103.0,3.0,3.0,8,9,1,2
6037120104.0,2.0,2.0,7,8,1,1
6037120105.0,4.0,4.0,9,10,1,2
6037120106.0,1.0,3.0,8,9,1,1
6037120107.0,2.0,4.0,9,10,1,2
6037120108.0,3.0,4.0,9,10,1,1
6037121010.0,6.0,8.0,8,8,1,1
6037121020.0,5.0,7.0,7,7,1,1
6037121101.0,6.0,7.0,9,9,1,1
6037121102.0,1.0,9.0,11,12,1,1
6037121210.0,1.0,7.0,11,12,1,1
6037121221.0,2.0,9.0,9,10,1,1
6037121222.0,2.0,9.0,10,11,1,1
6037121801.0,4.0,8.0,7,8,1,1
6037121802.0,3.0,9.0,8,9,1,1
6037122120.0,6.0,7.0,7,7,1,2
6037122121.0,6.0,7.0,8,8,1,2
6037122122.0,5.0,8.0,8,8,1,1
6037122410.0,5.0,8.0,6,7,1,2
6037122420.0,6.0,9.0,6,6,1,1
6037123010.0,7.0,7.0,6,6,1,1
6037123020.0,6.0,7.0,7,7,1,2
6037123103.0,9.0,10.0,4,4,1,2
6037123104.0,10.0,11.0,3,3,1,2
6037123203.0,6.0,8.0,6,6,1,2
6037123204.0,7.0,8.0,6,7,1,1
6037123205.0,7.0,9.0,5,5,2,2
6037123206.0,8.0,9.0,4,4,1,1
6037123301.0,6.0,7.0,5,6,1,2
6037123303.0,6.0,8.0,4,5,1,1
6037123304.0,6.0,7.0,4,5,1,1
6037123410.0,4.0,7.0,4,4,1,1
6037123420.0,5.0,7.0,3,4,1,1
6037123510.0,3.0,6.0,3,4,1,2
6037123520.0,5.0,5.0,2,3,1,1
6037123601.0,5.0,7.0,1,2,1,1
6037123602.0,4.0,6.0,1,3,1,1
6037123901.0,8.0,9.0,7,8,1,1
6037123902.0,7.0,7.0,1,5,1,1
6037124102.0,8.0,8.0,2,4,1,1
6037124103.0,8.0,10.0,4,5,1,2
6037124104.0,9.0,9.0,3,4,1,1
6037124105.0,9.0,9.0,3,4,1,1
6037124201.0,9.0,10.0,3,3,1,1
6037124203.0,10.0,10.0,2,2,1,1
6037124204.0,9.0,9.0,1,1,1,1
6037124902.0,7.0,7.0,1,5,1,2
6037124903.0,7.0,7.0,1,5,1,1
6037125310.0,9.0,9.0,2,2,1,1
6037125320.0,8.0,8.0,2,2,1,1
6037125401.0,7.0,7.0,1,2,1,2
6037125402.0,6.0,6.0,2,2,1,1
6037125501.0,8.0,8.0,3,3,1,2
6037125502.0,7.0,7.0,2,3,1,1
6037127102.0,3.0,5.0,5,5,1,2
6037127103.0,2.0,5.0,4,5,1,1
6037127104.0,2.0,5.0,4,5,1,1
6037127210.0,5.0,7.0,7,7,1,1
6037127220.0,4.0,6.0,6,6,1,1
6037127520.0,2.0,2.0,10,11,1,1
6037127603.0,3.0,3.0,1,2,1,1
6037127604.0,3.0,3.0,2,3,1,1
6037127605.0,3.0,3.0,1,2,1,2
6037127606.0,3.0,3.0,1,1,1,2
6037127712.0,1.0,1.0,2,3,1,1
6037127803.0,2.0,2.0,4,4,1,1
6037127804.0,1.0,1.0,4,4,1,2
6037127805.0,1.0,1.0,3,3,1,1
6037127806.0,2.0,2.0,2,2,1,1
6037127910.0,4.0,4.0,4,4,1,1
6037127920.0,3.0,6.0,3,4,1,1
6037128101.0,4.0,5.0,2,3,1,1
6037128102.0,4.0,4.0,2,4,1,1
6037128210.0,4.0,5.0,1,2,1,1
6037128220.0,4.0,5.0,1,2,2,2
6037128302.0,3.0,3.0,1,2,1,1
6037128303.0,3.0,3.0,1,2,1,1
6037128601.0,3.0,5.0,1,2,2,2
6037128602.0,2.0,6.0,1,2,1,1
6037128702.0,1.0,5.0,2,3,1,2
6037128801.0,2.0,2.0,1,3,1,1
6037128802.0,2.0,3.0,2,4,1,1
6037128910.0,1.0,3.0,2,4,1,1
6037131010.0,1.0,1.0,7,7,1,2
6037131020.0,4.0,4.0,4,4,1,1
6037131701.0,5.0,5.0,3,3,1,1
6037131702.0,4.0,4.0,4,4,1,1
6037132001.0,5.0,5.0,4,4,1,1
6037132002.0,4.0,4.0,3,5,1,1
6037132101.0,6.0,6.0,2,6,1,1
6037132102.0,4.0,4.0,3,4,1,1
6037132501.0,5.0,5.0,3,3,1,1
6037132502.0,4.0,6.0,2,2,1,1
6037134001.0,5.0,7.0,2,2,1,1
6037134002.0,5.0,7.0,2,2,1,1
6037134101.0,6.0,6.0,4,4,1,1
6037134103.0,8.0,8.0,5,5,1,1
6037134104.0,7.0,7.0,4,4,1,1
6037134201.0,7.0,8.0,4,4,1,1
6037134302.0,3.0,7.0,6,6,1,1
6037134303.0,5.0,6.0,4,4,1,1
6037134304.0,5.0,8.0,6,6,1,1
6037134305.0,6.0,7.0,5,5,1,2
6037134306.0,6.0,7.0,4,4,1,1
6037134421.0,3.0,7.0,6,7,1,1
6037134422.0,1.0,5.0,4,5,1,1
6037134423.0,1.0,6.0,5,6,1,1
6037134424.0,3.0,8.0,7,8,1,1
6037134520.0,4.0,5.0,2,2,1,1
6037134521.0,6.0,7.0,3,3,1,1
6037134522.0,5.0,6.0,3,3,1,1
6037134710.0,6.0,8.0,2,2,1,1
6037134720.0,7.0,7.0,3,3,1,1
6037134901.0,4.0,5.0,1,1,1,1
6037134903.0,4.0,6.0,1,1,1,1
6037134904.0,5.0,7.0,1,1,1,2
6037135102.0,2.0,3.0,2,3,1,1
6037135111.0,3.0,4.0,2,2,1,1
6037135113.0,2.0,3.0,1,2,1,1
6037135114.0,3.0,4.0,1,1,1,2
6037135201.0,1.0,4.0,3,4,1,1
6037135202.0,2.0,5.0,4,5,1,1
6037135203.0,4.0,7.0,6,7,1,1
6037137103.0,1.0,4.0,1,2,1,2
6037137104.0,1.0,6.0,3,3,1,1
6037137201.0,2.0,4.0,2,3,1,1
6037137301.0,3.0,6.0,5,6,1,1
6037137302.0,4.0,6.0,6,7,1,1
6037137401.0,2.0,5.0,3,4,1,2
6037137402.0,3.0,4.0,3,4,1,1
6037137501.0,2.0,5.0,3,4,1,1
6037137502.0,1.0,5.0,2,3,1,1
6037137504.0,2.0,4.0,3,4,1,1
6037139001.0,2.0,3.0,3,5,1,1
6037139301.0,4.0,5.0,1,2,1,1
6037139302.0,2.0,5.0,1,2,1,1
6037139303.0,1.0,4.0,1,3,1,2
6037139401.0,1.0,5.0,2,3,1,1
6037139402.0,3.0,4.0,2,2,1,1
6037139502.0,1.0,4.0,3,4,1,2
6037139503.0,1.0,4.0,3,5,1,1
6037139504.0,2.0,3.0,4,5,1,1
6037139701.0,1.0,1.0,4,5,1,1
6037139702.0,2.0,2.0,4,4,1,1
6037139703.0,2.0,3.0,3,3,1,1
6037139801.0,3.0,4.0,3,3,1,1
6037139802.0,3.0,3.0,3,4,1,2
6037141101.0,3.0,6.0,2,3,1,1
6037141102.0,2.0,5.0,3,4,1,2
6037141201.0,1.0,5.0,3,4,2,2
6037141202.0,2.0,4.0,4,4,1,1
6037141302.0,2.0,2.0,3,5,1,1
6037141303.0,1.0,3.0,3,4,1,2
6037141304.0,1.0,4.0,4,4,1,1
6037143602.0,5.0,5.0,2,2,1,1
6037143603.0,6.0,6.0,1,3,1,1
6037143604.0,7.0,7.0,1,4,1,1
6037143901.0,4.0,4.0,3,3,1,2
6037143902.0,3.0,5.0,3,4,1,2
6037183101.0,5.0,5.0,2,4,1,1
6037183103.0,5.0,5.0,2,5,1,1
6037183104.0,5.0,5.0,2,5,1,1
6037183220.0,6.0,7.0,2,4,1,1
6037183221.0,5.0,7.0,3,4,1,1
6037183222.0,4.0,8.0,3,5,1,1
6037183401.0,4.0,6.0,3,4,1,1
6037183402.0,3.0,5.0,4,5,1,1
6037183510.0,5.0,7.0,2,3,1,1
6037183520.0,6.0,7.0,2,2,1,1
6037183610.0,6.0,8.0,1,3,1,1
6037183620.0,7.0,8.0,1,3,2,2
6037183701.0,7.0,7.0,1,3,1,2
6037183702.0,6.0,6.0,1,3,1,2
6037183810.0,6.0,7.0,1,2,1,1
6037183820.0,6.0,7.0,1,1,1,1
6037185203.0,4.0,6.0,4,4,1,1
6037185204.0,5.0,5.0,3,3,1,1
6037185310.0,4.0,6.0,2,2,1,1
6037185320.0,5.0,6.0,2,3,1,1
6037186201.0,3.0,5.0,3,5,1,1
6037186202.0,3.0,5.0,4,6,1,1
6037186203.0,4.0,6.0,2,4,1,1
6037186301.0,3.0,3.0,7,9,1,1
6037186302.0,4.0,6.0,5,6,1,1
6037186401.0,4.0,4.0,7,8,1,1
6037186403.0,5.0,5.0,7,8,1,1
6037186404.0,5.0,5.0,5,5,1,1
6037187101.0,2.0,5.0,6,6,1,1
6037187102.0,3.0,6.0,7,7,1,1
6037188201.0,2.0,4.0,5,5,1,1
6037188202.0,3.0,3.0,4,5,1,2
6037189101.0,1.0,1.0,2,4,1,1
6037189102.0,2.0,2.0,3,4,1,2
6037189201.0,1.0,2.0,2,2,1,3
6037189202.0,2.0,2.0,2,3,1,2
6037189701.0,1.0,5.0,2,4,1,2
6037189702.0,2.0,4.0,1,3,1,2
6037189902.0,4.0,5.0,3,5,1,3
6037189903.0,3.0,5.0,2,4,1,2
6037189904.0,4.0,5.0,3,5,1,3
6037189905.0,3.0,4.0,3,5,1,2
6059001901.0,3.0,4.0,10,14,16,16
6037190201.0,2.0,2.0,1,2,1,1
6037190202.0,3.0,3.0,1,2,1,1
6037190301.0,3.0,3.0,2,2,1,1
6037190401.0,2.0,3.0,1,3,2,2
6037190402.0,3.0,4.0,1,4,2,2
6037190510.0,4.0,4.0,1,3,1,1
6037190520.0,3.0,4.0,1,4,2,2
6037190801.0,1.0,1.0,2,4,2,2
6037190802.0,1.0,1.0,2,3,1,2
6037190901.0,4.0,4.0,3,4,1,1
6037190902.0,2.0,2.0,3,4,1,1
6037191110.0,4.0,4.0,2,4,1,1
6037191120.0,4.0,5.0,3,4,1,1
6037191201.0,1.0,2.0,1,3,1,3
6037191203.0,1.0,2.0,1,1,2,2
6037191204.0,2.0,3.0,2,2,1,1
6037191301.0,2.0,2.0,2,3,1,1
