tract_id,house_num,shape_area,shape_length,shape_area_c,shape_length_c,target
832400,779.0,2228243.350597888,154689.9104219521,2040188.865580877,141230.22615593707,0
832500,177.0,1712525.714536613,65381.66983070549,1571339.410265809,59466.536988227344,0
832600,192.0,1542560.1435531238,62029.187003813655,1418126.4513712665,56437.29505020157,0
832900,116.0,916584.3077433,39755.60737465367,844026.9777841371,36175.309647368245,0
833000,106.0,3059689.5935935145,72289.00623599203,2786114.4842366544,65925.25291837672,0
833100,95.0,3245386.3416224523,71897.76792153902,3012930.683908757,66069.68239354233,0
835800,246.0,1147077.0071124008,68659.55961890967,1047445.4173261144,62364.17319805768,0
836000,257.0,801662.7102675012,58086.95250941104,734047.8567398754,52945.57754501781,0
836300,173.0,1210660.6253836122,60347.90929183062,1098884.4389009203,54822.62332262593,0
837800,207.0,3287827.119330232,91391.09045219938,3046728.8528587027,84485.12993728674,0
839000,86.0,1941409.664905208,60731.57309415164,1787061.0718738718,56470.61512289768,0
839100,60.0,2208924.368004049,47673.709144886,1978790.2696535743,42603.656399616906,0
840000,401.0,1494547.3745249272,81305.95599604229,1359832.553533074,74686.80910585489,0
840200,244.0,844845.0036472959,53197.20607825673,771875.3411536372,48744.01118887224,0
841000,3.0,28216.353390505505,1118.7159733768665,23492.697437832023,943.562084555056,0
841900,72.0,2285001.7242594548,47099.75202202911,2154455.863993388,44497.27572899753,0
842000,111.0,1841553.481385952,56102.96343119445,1717606.1496546343,52189.24831413297,0
842200,88.0,2130730.3616123404,54013.89176484464,1995713.599439703,50180.044470145534,0
842300,85.0,1787471.973599181,47035.8206520063,1647112.5179150586,43109.408542149016,0
842600,60.0,3912236.845787423,56281.81546222924,3744920.0260650665,53670.10604905311,0
843700,402.0,1927186.8041972236,97538.06694528578,1808441.1647722835,91075.12328210215,0
90100,1279.0,1899790.199818464,193204.77684356263,1824905.5616582783,185130.6004367493,0
90200,892.0,1603911.6311382838,148147.7408588154,1515201.7465920667,139548.737790228,0
90300,885.0,1660773.244300278,141986.86241121232,1573380.1290510115,134275.09274595184,0
10100,225.0,1454984.0914236698,72551.95821891497,1327323.530474434,66058.1912328596,1
10501,190.0,1675648.72660441,76835.65628931575,1526397.942002358,69910.85061810735,1
10502,296.0,1755027.3016452151,88838.85643376564,1582706.7359726112,80363.89402641986,1
10702,305.0,2023627.9598841504,100301.9016157304,1864644.116685971,92368.40601170904,1
140301,740.0,1906370.2625244723,154917.55309811962,1755968.814731299,142443.4560437427,1
160300,372.0,1588369.9813915803,103019.5113624404,1480739.0713861664,96537.36245024712,1
190100,835.0,2754060.1421765275,164427.13222799578,2595687.6232737727,154232.18893806162,1
190300,1408.0,2472325.779119986,230415.4557232319,2353562.1070515164,218683.64328485585,1
191000,696.0,2815608.960809865,139501.7938487393,2646099.368918775,130586.33285522457,1
20602,1014.0,2176518.142079308,191037.1540551336,2051084.4122095576,180146.31419342663,1
20901,454.0,1565987.9784807365,106317.73787382936,1460948.09942259,99249.4268014182,1
210501,811.0,1819425.2696108427,153379.06152490628,1672264.680278398,140743.13893831964,1
210502,771.0,1493057.0343814269,138863.49376905803,1365264.207612543,126244.18761203116,1
220300,761.0,1583921.2709354649,140369.1221327883,1463952.1288618178,129575.2553083126,1
220602,675.0,1737353.4568239658,137805.73613207403,1586241.3720262293,126534.08786542751,1
220901,532.0,1463250.8954854254,101625.50439104732,1333439.5461833382,92137.12019012572,1
220902,781.0,1960170.456040833,148303.02873234535,1780305.713497161,134785.72446353754,1
222500,706.0,2064330.4533142915,147204.8493357717,1916362.6392035736,135828.978729986,1
222900,315.0,1747948.1785835435,75604.78077203293,1632664.2876494222,69120.16858580046,1
230400,582.0,1897518.629202156,116622.88939588076,1756956.255705577,106269.47503055783,1
230500,482.0,2151505.0062832725,109388.1212507473,2000457.6324174872,100367.96801738604,1
230800,554.0,1611476.0939173196,98773.33897354336,1474797.0267837294,89221.50520882824,1
230900,502.0,1044744.6403843712,81134.53138986252,946083.544787402,72909.98839066594,1
241000,475.0,1377875.4064531792,101483.76352501885,1262249.337057413,92509.20779546938,1
241100,547.0,1540050.6593214893,113676.32252441086,1415517.4199177348,103289.36620449409,1
242000,170.0,823545.9684802386,44775.84214191442,754564.427180564,40334.49278250583,1
242800,421.0,1343415.7407050622,80663.3430752896,1226861.2256970007,73489.83891795382,1
243100,425.0,1505966.252875805,87772.76600955917,1374972.3866065112,79237.74144137908,1
251100,999.0,2162801.271012422,179816.91994133993,2014165.8988763285,168151.41781664776,1
251400,595.0,1490600.143472016,104584.0716472071,1397044.7898751476,97181.93722524084,1
251500,614.0,1199851.1854816787,109013.33354605694,1134192.0073379364,103030.194459097,1
251900,563.0,1756047.546259486,117476.52917892652,1663420.2689927053,111163.19735484452,1
260900,151.0,634040.8350390868,35750.528580298065,569783.1681351342,32055.88325178553,1
271500,252.0,1267325.2737182025,58649.426665301,1160362.0991133845,53356.28863087853,1
280400,127.0,2076320.6334327108,65333.3882790524,1930626.354694676,60693.520588332496,1
290900,389.0,1065582.3079044654,77409.5580419702,976555.8944062522,70279.04906613535,1
291600,310.0,4172959.120103551,100536.85122829273,3793158.7332461,91833.00114588962,1
300500,600.0,1437315.3136421482,115387.74509006136,1314497.2678196123,105020.2761395076,1
300800,824.0,1951433.0857322072,154916.01602687605,1808772.1072031823,141668.86520769334,1
300900,740.0,1864618.5797935843,145779.65721173232,1718019.4287402348,132775.2644207488,1
30101,88.0,1386007.4332933486,48285.60996088872,1263633.5667097876,43980.0112689826,1
30102,81.0,1362252.3517725114,45996.449864351474,1233213.5375898597,41779.80035590669,1
30103,75.0,1623143.531958536,47199.42321629753,1467431.5495515235,42715.22786450563,1
30104,57.0,1450812.880429935,38085.91768624964,1315757.1635506845,34524.93482566519,1
301100,573.0,1578539.163620541,107323.47487137889,1468213.931651482,98915.11666699992,1
301200,548.0,1912209.3131346009,106146.37277117706,1767176.632889496,97940.53492911904,1
301600,1216.0,1687334.2382832747,196214.5647074743,1551142.93600252,180555.4507507044,1
30400,406.0,1665932.732528936,92946.69439008554,1521645.7695108429,84565.10031837875,1
30601,92.0,1106588.4308330826,40677.57911135406,1008744.670222338,37004.33862595826,1
30604,28.0,618124.406352209,17256.46273917301,561147.2840142583,15748.316903133496,1
30706,18.0,216943.39151896528,7243.1651364410045,189479.48663587047,6378.605513480603,1
310600,276.0,1482803.9123453444,77262.45123393007,1338526.4670622055,68918.76953367557,1
310900,434.0,1213272.6220555806,80318.25576786241,1102435.778103649,72244.34645311799,1
31100,276.0,1259185.802193191,67985.45632151459,1127079.145287528,60906.23416432503,1
31700,329.0,1828173.9780268995,97908.6702153936,1667282.306190998,89634.19091965066,1
32100,164.0,1422338.3613646557,66665.66304923696,1290514.6366915377,60534.28061811461,1
330100,11.0,540068.8588369526,8252.321575383163,494208.1921322443,7631.106531985241,1
340600,52.0,1579369.4597368464,34189.31376988117,1464733.707188547,32099.00671787169,1
351100,70.0,705208.3323577347,28053.022420375943,653056.4669115706,25862.146054437544,1
351400,183.0,988222.0675582628,52596.47633742774,917163.9364069966,48544.46698327474,1
351500,95.0,631768.4757469447,29959.22068283291,589721.6391526536,27826.77459607464,1
380700,192.0,1153397.7047009133,60899.38007802219,1072579.2235494745,56410.2393668334,1
381800,202.0,1067946.9926687758,60040.41494551601,996032.2823331514,55531.38512503326,1
390100,47.0,127116.5891907253,9520.115388007102,116629.2076266288,8726.947059959633,1
400500,229.0,928714.2445972709,59888.92326075932,853038.3088166442,54942.01928259698,1
40202,742.0,1954827.0328341515,146544.55985709545,1855668.775580626,139004.21387023217,1
410500,153.0,1567279.0176826958,57851.69907235321,1439710.6581647352,52477.06040787488,1
420200,168.0,1122473.4189055248,54309.7324280609,1034691.1640019288,49842.74860429474,1
420400,167.0,1356789.4840552306,58109.00697457665,1236426.3167778463,52711.44096675552,1
420800,272.0,815787.0964916258,61010.01168016847,745819.1538691361,55078.1868770376,1
421200,341.0,910225.7842838542,66115.65293688948,835434.5729710776,60359.65639975092,1
430600,591.0,2082300.044780993,133788.41035800608,1961020.4138922384,125711.98619804662,1
430900,613.0,2146480.7484292705,129836.35800347112,2038296.3693062149,123265.35089860296,1
440101,341.0,1541670.408324165,96627.89152379148,1417432.5449600366,88411.90023528431,1
440800,435.0,1180340.7607211212,82140.3770934703,1102035.8386403087,76112.23100942475,1
440900,589.0,1111484.5992646746,96383.81464266416,1015065.9150765452,88214.90185526144,1
460200,339.0,966004.5938916096,70879.53436737644,885262.1498172481,64196.96326036991,1
460500,933.0,1917866.4112646824,166968.94661592878,1817367.108959556,157921.67690143592,1
460600,562.0,1369531.447530245,103904.5479498194,1268778.4105986536,96900.32220570806,1
460700,386.0,1135502.1323462704,88855.63446218557,1043818.3370239732,81135.22264377924,1
461000,158.0,774678.9447473753,41772.61925781258,715607.9059056954,38387.401913040136,1
490600,841.0,1121612.9825471472,127279.65038067669,1063848.70352445,120985.33328067895,1
500200,33.0,1307187.1172094876,20338.5054958705,1226153.2043201106,18973.959473922117,1
500300,140.0,1577525.820988573,40980.26939708846,1477102.7468037554,37563.411366913264,1
510100,291.0,453699.5199047513,48672.58052614503,421974.9103661287,45203.58366815771,1
520100,47.0,143338.5805217866,9884.243646743893,131440.4771249458,9015.120286096084,1
520200,173.0,443485.4670042413,34652.36866448601,410090.07975453854,31848.679097581437,1
