,Own children of the householder 6 to 17 years,Median household income (dollars),Mean household income (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),GROSS RENT Occupied units paying rent Median (dollars),Population in households,Total households,Total population,relation_max_fee,relation_min_fee,TRACTCE10,INTPTLAT,INTPTLONG,label
115,411.0,122571.0,185561.0,2997.0,1610.0,4435.0,1757.0,4440.0,1924.0,1439.0,70700.0,41.93,-87.67,0.0
116,158.0,121840.0,166657.0,2936.0,1865.0,2439.0,1041.0,4437.0,1960.0,852.0,71000.0,41.92,-87.66,0.0
117,153.0,116483.0,173306.0,4000.0,1744.0,2727.0,1055.0,3200.0,1960.0,852.0,71100.0,41.92,-87.65,0.0
118,204.0,104115.0,147391.0,3026.0,1689.0,1931.0,936.0,1931.0,1744.0,1340.0,71200.0,41.92,-87.65,0.0
119,532.0,103571.0,196923.0,3382.0,1595.0,3730.0,1796.0,3747.0,1689.0,1236.0,71300.0,41.92,-87.64,0.0
120,88.0,71701.0,119049.0,2824.0,1410.0,4491.0,2853.0,4749.0,2895.0,1299.0,71400.0,41.92,-87.63,0.0
121,300.0,89167.0,119224.0,2500.0,1633.0,5915.0,3820.0,5915.0,1868.0,1362.0,71500.0,41.91,-87.63,0.0
122,266.0,120240.0,219176.0,3446.0,1618.0,1709.0,719.0,1709.0,1984.0,631.0,71600.0,41.92,-87.64,0.0
123,185.0,137500.0,205025.0,2965.0,1984.0,1763.0,732.0,1776.0,1868.0,631.0,71700.0,41.91,-87.64,0.0
124,371.0,149028.0,209218.0,3097.0,1640.0,2773.0,1081.0,2773.0,1984.0,631.0,71800.0,41.91,-87.65,0.0
125,269.0,118500.0,196192.0,3353.0,1749.0,6666.0,4090.0,6666.0,1796.0,1362.0,80100.0,41.91,-87.63,0.0
126,15.0,79869.0,109675.0,2008.0,1494.0,3230.0,2293.0,3230.0,1868.0,1163.0,80201.0,41.91,-87.63,0.0
127,123.0,81794.0,147278.0,2148.0,1362.0,3506.0,2228.0,3506.0,1868.0,1163.0,80202.0,41.91,-87.63,0.0
128,121.0,117687.0,175880.0,2684.0,1868.0,4579.0,2714.0,4579.0,1984.0,631.0,80300.0,41.91,-87.64,0.0
129,508.0,30625.0,93220.0,2653.0,631.0,4198.0,1929.0,4229.0,1984.0,1192.0,80400.0,41.91,-87.64,0.0
130,133.0,51905.0,70489.0,2627.0,1163.0,6188.0,4598.0,7698.0,1950.0,1192.0,81000.0,41.9,-87.63,0.0
131,32.0,72303.0,103059.0,2283.0,1530.0,4065.0,2725.0,4077.0,1992.0,1163.0,81100.0,41.9,-87.63,0.0
132,68.0,88088.0,181426.0,3409.0,1796.0,4262.0,2914.0,4656.0,2031.0,1163.0,81201.0,41.9,-87.63,0.0
133,94.0,113798.0,202384.0,3164.0,1509.0,3021.0,1773.0,3021.0,1796.0,1362.0,81202.0,41.9,-87.62,0.0
134,131.0,85938.0,158982.0,2701.0,1535.0,5276.0,3304.0,5276.0,1992.0,1509.0,81300.0,41.9,-87.62,0.0
135,82.0,62321.0,132257.0,3646.0,1749.0,2345.0,1526.0,2386.0,2134.0,1535.0,81401.0,41.9,-87.62,0.0
136,159.0,109801.0,170689.0,3457.0,2060.0,5048.0,2999.0,5048.0,2134.0,1535.0,81402.0,41.89,-87.61,0.0
137,256.0,102856.0,152709.0,3050.0,1926.0,7635.0,5231.0,7635.0,2134.0,1535.0,81403.0,41.89,-87.62,0.0
138,80.0,103750.0,161542.0,3233.0,1992.0,4968.0,3188.0,4994.0,2031.0,1535.0,81500.0,41.89,-87.63,0.0
139,95.0,103060.0,159472.0,2959.0,2031.0,3937.0,2535.0,3937.0,1992.0,1163.0,81600.0,41.89,-87.63,0.0
140,0.0,95545.0,138421.0,2603.0,1950.0,3487.0,2416.0,3487.0,2031.0,1163.0,81700.0,41.89,-87.63,0.0
141,195.0,116705.0,156332.0,2507.0,2024.0,8960.0,5719.0,8960.0,2214.0,756.0,81800.0,41.89,-87.64,0.0
142,90.0,139063.0,210834.0,3289.0,756.0,935.0,413.0,935.0,2024.0,631.0,81900.0,41.9,-87.64,1.0
143,576.0,94375.0,123236.0,2438.0,955.0,3558.0,1379.0,3558.0,1643.0,1096.0,90100.0,42.02,-87.81,0.0
144,901.0,100808.0,131571.0,2158.0,1209.0,6798.0,2752.0,6803.0,1643.0,955.0,90200.0,42.01,-87.81,0.0
145,165.0,89205.0,113521.0,2297.0,1186.0,1392.0,507.0,1392.0,1643.0,955.0,90300.0,42.0,-87.82,0.0
146,617.0,66265.0,112494.0,2200.0,1128.0,5492.0,2207.0,5498.0,1594.0,950.0,100100.0,41.99,-87.78,0.0
147,754.0,70549.0,91049.0,2136.0,1096.0,6581.0,2810.0,6762.0,1594.0,1026.0,100200.0,42.0,-87.79,0.0
148,612.0,73558.0,93452.0,2303.0,1319.0,5939.0,2676.0,6272.0,1649.0,967.0,100300.0,41.99,-87.8,0.0
149,475.0,83594.0,97229.0,2165.0,1643.0,3281.0,1241.0,3289.0,1421.0,967.0,100400.0,41.99,-87.82,0.0
150,641.0,82865.0,104550.0,2109.0,967.0,5483.0,2137.0,5492.0,1643.0,985.0,100500.0,41.98,-87.82,0.0
151,583.0,64151.0,88268.0,1818.0,1026.0,4892.0,1879.0,4892.0,1649.0,1019.0,100600.0,41.98,-87.8,0.0
152,465.0,77324.0,97839.0,1929.0,1649.0,4715.0,1800.0,4731.0,1319.0,1019.0,100700.0,41.97,-87.8,0.0
153,676.0,74440.0,96964.0,2112.0,950.0,5229.0,2090.0,5229.0,1594.0,976.0,110100.0,41.99,-87.77,0.0
154,371.0,80240.0,86110.0,1924.0,976.0,3230.0,1238.0,3235.0,1131.0,950.0,110200.0,41.98,-87.77,0.0
155,693.0,74537.0,91286.0,2063.0,1019.0,5242.0,1976.0,5242.0,1649.0,976.0,110300.0,41.98,-87.78,0.0
156,352.0,70344.0,82238.0,2150.0,1131.0,4353.0,1836.0,4367.0,1066.0,972.0,110400.0,41.97,-87.77,0.0
157,755.0,80098.0,89498.0,2065.0,1009.0,5310.0,1742.0,5325.0,1326.0,950.0,110501.0,41.98,-87.76,0.0
158,278.0,55194.0,72326.0,2078.0,1059.0,3410.0,1477.0,3410.0,1326.0,972.0,110502.0,41.97,-87.76,0.0
159,682.0,124338.0,137832.0,2593.0,1594.0,3821.0,1439.0,3826.0,1310.0,950.0,120100.0,42.0,-87.78,0.0
160,901.0,108954.0,133488.0,2682.0,1310.0,4793.0,1713.0,4793.0,1594.0,950.0,120200.0,41.99,-87.76,0.0
161,886.0,121793.0,139769.0,2391.0,1137.0,6636.0,2378.0,6665.0,1326.0,404.0,120300.0,41.99,-87.74,0.0
162,677.0,82167.0,97420.0,2357.0,1326.0,3713.0,1258.0,3713.0,1310.0,870.0,120400.0,41.98,-87.75,0.0
163,771.0,40503.0,67465.0,2128.0,404.0,5037.0,1935.0,5327.0,1373.0,967.0,130100.0,41.99,-87.72,0.0
164,204.0,77800.0,109194.0,2179.0,1024.0,1565.0,662.0,1565.0,1137.0,404.0,130200.0,41.98,-87.73,0.0
165,641.0,58214.0,73967.0,2174.0,1128.0,5532.0,1766.0,5532.0,1373.0,404.0,130300.0,41.99,-87.71,0.0
166,636.0,39961.0,52087.0,2206.0,1072.0,3613.0,1126.0,3613.0,1225.0,948.0,140100.0,41.97,-87.71,0.0
167,686.0,42694.0,61840.0,1604.0,998.0,5035.0,1671.0,6228.0,1137.0,948.0,140200.0,41.97,-87.71,0.0
168,358.0,40192.0,56219.0,2175.0,990.0,2900.0,774.0,2900.0,1137.0,949.0,140301.0,41.97,-87.72,1.0
169,594.0,72577.0,81443.0,2207.0,967.0,3893.0,1267.0,4254.0,1074.0,949.0,140302.0,41.97,-87.72,0.0
170,1077.0,73906.0,90381.0,2215.0,870.0,6884.0,2280.0,6884.0,1326.0,889.0,140400.0,41.97,-87.74,0.0
171,639.0,56278.0,75499.0,1885.0,1050.0,4237.0,1272.0,4237.0,990.0,870.0,140500.0,41.97,-87.73,0.0
172,442.0,45769.0,58344.0,1884.0,949.0,2760.0,918.0,2760.0,1074.0,925.0,140601.0,41.96,-87.73,0.0
173,646.0,60508.0,72616.0,1973.0,1074.0,5251.0,1589.0,5251.0,1137.0,948.0,140602.0,41.96,-87.72,0.0
