,0,1,2,3,4,5,6,7,8,9,TRACTCE10,INTPTLAT,INTPTLONG,label
0,9158.978,0.0,19948.447,1578.0037,12865.978,0.0,3402.8528,5282.798,0.0,0.0,10100.0,42.02,-87.67,1.0
1,3436.3481,0.0,8972.779,0.0,4244.08,0.0,0.0,2619.172,0.0,0.0,10201.0,42.02,-87.68,0.0
2,2944.2651,0.0,9348.287,0.0,3029.6018,0.0,0.0,2906.731,0.0,0.0,10202.0,42.02,-87.67,0.0
3,3693.464,0.0,9280.048,7.1877904,4693.403,0.0,30.085703,2707.5696,0.0,0.0,10300.0,42.02,-87.67,0.0
4,1530.5673,0.0,4860.3896,0.0,1640.0443,0.0,0.0,1625.7205,0.0,0.0,10400.0,42.01,-87.66,0.0
5,19390.703,0.0,46782.35,1184.3972,25247.963,0.0,2361.7214,13096.138,0.0,0.0,10501.0,42.01,-87.66,1.0
6,11962.553,0.0,25030.508,2541.8308,17170.713,0.0,5543.705,6452.0312,0.0,0.0,10502.0,42.0,-87.66,1.0
7,5374.9395,0.0,12367.994,600.0848,7286.7676,0.0,1219.3855,3373.321,0.0,0.0,10503.0,42.0,-87.66,0.0
8,4853.788,0.0,12147.603,251.45488,6336.002,0.0,315.4441,3404.1062,0.0,0.0,10600.0,42.01,-87.67,0.0
9,5545.5107,0.0,12066.109,966.96564,7820.7207,0.0,2074.7258,3195.3157,0.0,0.0,10701.0,42.01,-87.68,0.0
10,14131.3125,0.0,29206.826,3036.7273,20481.287,0.0,6862.1323,7659.623,0.0,0.0,10702.0,42.01,-87.67,1.0
11,14069.512,0.0,35043.395,492.42657,18057.82,0.0,689.9949,9903.378,0.0,0.0,20100.0,42.02,-87.69,0.0
12,16956.066,0.0,48832.83,0.0,18895.92,0.0,0.0,14716.384,0.0,0.0,20200.0,42.02,-87.7,0.0
13,7283.715,0.0,15337.74,1456.1951,10461.64,0.0,3260.4062,4048.1296,0.0,0.0,20301.0,42.01,-87.71,0.0
14,7741.715,0.0,17372.584,1168.5125,10720.394,0.0,2412.1975,4639.1816,0.0,0.0,20302.0,42.01,-87.69,0.0
15,21112.674,0.0,37362.246,5681.3955,32596.219,0.0,14966.288,10449.392,0.0,0.0,20400.0,42.01,-87.69,0.0
16,6226.064,0.0,15240.618,319.66925,8088.0054,0.0,591.42017,4295.159,0.0,0.0,20500.0,42.0,-87.68,0.0
17,8585.18,0.0,24701.85,0.0,7658.324,0.0,0.0,8011.6025,0.0,0.0,20601.0,42.0,-87.7,0.0
18,3481.335,0.0,8352.009,293.48175,4641.654,0.0,524.5969,2308.0305,0.0,0.0,20602.0,42.0,-87.69,1.0
19,7752.001,0.0,16596.121,1639.5608,11112.914,0.0,3485.0002,4292.3936,0.0,0.0,20701.0,41.99,-87.7,0.0
20,16804.096,0.0,28671.29,4883.4824,25697.035,0.0,12306.687,7380.37,0.0,0.0,20702.0,41.99,-87.7,0.0
21,8844.213,0.0,17749.195,1949.407,12953.99,0.0,4590.5117,4724.5938,0.0,0.0,20801.0,41.99,-87.69,0.0
22,10905.08,0.0,21817.621,2846.9802,16152.265,0.0,6267.867,5472.869,0.0,0.0,20802.0,41.99,-87.69,0.0
23,22430.535,0.0,40380.586,5460.2607,34207.254,0.0,14908.585,11516.052,0.0,0.0,20901.0,42.0,-87.69,1.0
24,7083.282,0.0,15307.142,1465.6653,10153.3545,0.0,3043.5693,3963.2136,0.0,0.0,20902.0,41.99,-87.68,0.0
25,12286.203,0.0,26580.783,2246.3103,17349.838,0.0,4850.168,6997.4707,0.0,0.0,30101.0,41.99,-87.66,1.0
26,12788.793,0.0,25515.725,3374.028,18961.219,0.0,7388.8213,6385.668,0.0,0.0,30102.0,41.99,-87.66,1.0
27,4540.46,0.0,10035.239,744.40265,6372.0054,0.0,1584.2859,2681.1877,0.0,0.0,30103.0,42.0,-87.66,1.0
28,17029.166,0.0,40976.15,1072.073,22114.082,0.0,1943.448,11349.251,0.0,0.0,30104.0,42.0,-87.66,1.0
29,5865.748,0.0,10983.534,1352.2009,8845.778,0.0,3565.4236,3087.404,0.0,0.0,30200.0,41.99,-87.67,0.0
30,4990.13,0.0,11751.74,550.85187,6762.7715,0.0,1045.0754,3211.159,0.0,0.0,30300.0,41.99,-87.67,0.0
31,2113.7334,0.0,6860.297,0.0,1877.6084,0.0,0.0,2286.9639,0.0,0.0,30400.0,41.99,-87.67,1.0
32,13354.8125,0.0,30801.69,1566.3542,18078.043,0.0,3201.033,8374.786,0.0,0.0,30500.0,41.99,-87.66,0.0
33,10136.953,0.0,17644.36,3169.5535,15710.397,0.0,7625.7793,4439.119,0.0,0.0,30601.0,41.99,-87.65,1.0
34,8010.1387,0.0,15611.291,2451.034,12118.909,0.0,5205.781,3730.2693,0.0,0.0,30603.0,41.99,-87.66,0.0
35,11615.6875,0.0,27733.336,875.3748,15332.529,0.0,1766.3484,7731.045,0.0,0.0,30604.0,41.99,-87.65,1.0
36,3480.2935,0.0,9001.184,17.393356,4436.885,0.0,0.0,2591.6418,0.0,0.0,30701.0,41.98,-87.66,0.0
37,10548.816,0.0,22729.086,2005.8552,14943.563,0.0,4318.418,5951.836,0.0,0.0,30702.0,41.98,-87.65,0.0
38,2542.628,0.0,7081.05,0.0,3039.866,0.0,0.0,2090.005,0.0,0.0,30703.0,41.98,-87.66,0.0
39,4165.6484,0.0,9095.801,784.4808,5920.784,0.0,1619.5493,2380.3167,0.0,0.0,30706.0,41.98,-87.65,1.0
