,label,Unemployment Rate,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) Less than $10,000",HEALTH INSURANCE COVERAGE With health insurance coverage,HEALTH INSURANCE COVERAGE With private health insurance,YEAR STRUCTURE BUILT Built 2014 or later,YEAR STRUCTURE BUILT Built 2010 to 2013,HOUSING TENURE Renter-occupied,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2015 or later,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2014,VEHICLES AVAILABLE No vehicles available,VEHICLES AVAILABLE 2 vehicles available,VEHICLES AVAILABLE 3 or more vehicles available,OCCUPANTS PER ROOM 1.01 to 1.50,OCCUPANTS PER ROOM 1.51 or more,MORTGAGE STATUS Owner-occupied units Housing units with a mortgage,65 years and over,MARITAL STATUS Males 15 years and over Never married,MARITAL STATUS Females 15 years and over Never married,EDUCATIONAL ATTAINMENT Less than 9th grade,"EDUCATIONAL ATTAINMENT 9th to 12th grade, no diploma",Percent bachelor's degree or higher,PLACE OF BIRTH Native Different state,SEX AND AGE 62 years and over,White,Black or African American,American Indian and Alaska Native,Asian,Hispanic or Latino (of any race)
672,0,-1.0851890051698336,-0.33952856803045,1.1782577458450127,-1.0580840744568834,-0.5360144300430191,0.33222540020156516,0.4710414354874572,-0.53875381883411,-0.9067433431240025,-1.3923074068623291,0.4348591018175475,0.011728825435093456,-1.2174119509241073,2.740529179446471,-0.6378177263003744,1.4963639850177373,1.703226103296671,-0.36597620530308883,0.015472441121463084,-2.362640707272462,-1.3537815008131135,-2.0667933536154233,-1.5509270351541198,2.269258589982157,2.1089404364289455,0.15394691480821873,-0.7476499004267158,0.1886491744319171,0.03574769987233065,-1.4042814355310038,-0.5340907858302867,-0.7223694649131939,-0.7581286794950822,0.14733961564374773,-0.906776438625321,0.34534833959961614,1.467695638959124,-0.8816657203518615,0.216691487624014,-0.18893351674471878,-0.5673710597081365
673,0,-0.9926751772259824,-0.33952856803045,-0.1081848148902043,-0.9210307787677883,-0.02933412303718012,-0.5566794425841808,-0.4363102697372298,-0.26305448099287626,-0.529790883624316,-0.8584641344653854,0.304274550436042,-0.7162402732363802,-1.037165051811443,4.630333189664425,-1.089532710778807,1.6077433768696305,1.7346689265844921,-0.36597620530308883,-0.12563622190628057,-2.2229912565410377,-1.2555172077761054,-1.973691400683721,-1.7673200871519539,2.7319749798690536,1.8552138725093281,-0.3662134454130253,0.1504303111244922,0.5121311601296344,-0.17674142115649658,-1.3549190528062425,-1.9055140401503494,-0.8047733987272173,-1.2021905248469607,0.1395887330646441,-0.8739467398549244,-0.2301384167933881,1.4858584237021026,-0.8542098465997378,-0.4389286341730025,-0.5319312619169879,-0.6571513701676037
674,0,-0.7254130076104123,-0.33952856803045,1.3460546015930845,-0.49273922973936596,-0.7893545835459385,-1.045577106116341,-0.6012833070508092,0.012644856848357472,-0.02718760429140057,-0.9785788707546977,0.2825104585391245,-0.8722336515231246,-0.4243255948283847,3.561353143480532,-1.0084556622826781,1.0230015696471881,1.5055854997732245,-0.36597620530308883,0.08602677263533487,-1.494819120584326,-0.6167993030355545,-1.126463629005229,-1.2871980030317596,2.232241278791206,1.3308456404087856,-0.6109947913994931,-0.3285458017028187,0.13239143778883614,0.10215055019383919,-1.1492424581197376,-1.0271867873835674,-0.8283173798169383,-0.9167221956921817,0.015574611798987816,-1.0134729596291103,0.24709450314227405,1.1619554291189877,-0.6620187303348717,-0.4389286341730025,-0.24252691442788585,-0.5984488594825674
675,1,0.15860801496416593,-0.33952856803045,1.0663931753462983,-0.7497141591564194,-0.02933412303718012,0.8433456848033688,0.20296024985289043,0.2883441946895912,-0.2575474406523202,-0.4046973529279837,-0.0874791037084749,-0.09226676008940272,-1.1453131912790415,0.7934583810400943,-0.047113515828577576,0.6888633940915082,-0.01714551373696772,-0.36597620530308883,-0.37257638220483186,-1.4499317971349397,-0.7641957425910662,-2.215756478306147,-0.5095354724145429,0.020456935131841915,0.7557320955243201,-0.8863738056342693,-0.7476499004267158,-0.2684449357931174,0.872423613923338,0.6936198302713461,0.059165341038504744,-0.6752815027337519,0.09827630796925516,-0.5192362861591556,0.2094333195681667,1.243669130066745,-1.3445088654120312,1.3996677895973295,-0.4389286341730025,-0.5962433391367884,-0.7641971249461992
676,0,-0.5095474090747594,-0.33952856803045,-0.5556430968850624,-0.80110914503983,-1.1440307984500255,-0.7566830322109734,0.16171699052449573,-0.53875381883411,0.8942517411522776,0.35602931023766066,0.9245511694981938,-1.7388635308939266,-0.35222683518331893,1.5951934156780143,-0.0934432578263656,0.883777329832321,0.7015475899846568,-0.36597620530308883,-0.37257638220483186,-1.5097815617341215,-0.010836162640672827,-2.131964720667615,-1.0302312537843314,1.7880335444997857,-0.15768353458630174,-0.8863738056342693,-0.7476499004267158,0.6527755017373373,0.27479796102976123,-1.8320887524789335,-1.2891440382087482,-0.8400893703617988,-1.0118783054104412,0.6007662465213043,0.43103378626834465,0.976980145396816,-0.2789588271572986,0.5635116344190154,0.05278645717475983,-0.5962433391367884,-0.7987280135844558
677,0,-0.5815026085866437,-0.33952856803045,0.28334118185529666,-0.5270025536616398,-0.6373504914441868,-1.045577106116341,-0.9518510113421655,-0.1527747458563828,0.14034682215290453,0.19587632851857772,0.456623193714465,-0.9415640418727886,-0.8208687728762458,2.778707038238753,-0.8926313072882083,1.1343809614990814,1.2720102410636964,-0.36597620530308883,-0.37257638220483186,-1.7990554239635002,-1.6321969977513022,-1.349908316041315,-1.3886322461557443,1.7047445943201445,0.8233925125695514,-0.7333854643927269,-0.7476499004267158,0.14645587194960663,0.38104252154417495,-1.4371896906808443,-2.0750157906842897,-0.8989493230861012,-0.8532847892133418,0.6085171291004076,-1.1283769053254988,0.9067988336415715,1.1831453446524627,-0.6195869254452258,-0.4389286341730025,-0.5212125823803545,-0.7296662363079426
678,0,-0.6945750649624618,-0.33952856803045,-0.13615095751488296,-0.5955292015061873,-0.43467836864185133,-0.3566758529573879,0.20296024985289043,-1.1452923620848243,-0.2575474406523202,-0.6449268255066081,1.196602318209664,-0.8722336515231246,0.22456324197720645,1.3852151923204636,-1.0432029687810194,0.8559324818693472,1.4247325256045413,-0.36597620530308883,-0.37257638220483186,-1.6793558947651366,-1.550310086887129,-1.4523204642661873,-1.6996972584026309,2.0008830838477576,1.3815909531927093,-0.8863738056342693,-0.7476499004267158,0.37851903560231626,0.2216756807725546,-1.3220107976564017,-0.9193220370437873,-0.9107213136309618,-1.091175063508991,0.4806275665451995,-0.9642284114735153,0.47167470075905643,0.6140447560391397,-0.07546142744859169,-0.4389286341730025,-0.5640873005268882,-0.7918218358568044
679,0,0.5492219551715378,1.3446597601019452,-0.47174466901102646,-0.21863263836117572,-1.1440307984500255,-0.8011282743502608,0.7185009914578262,0.729463135235565,-0.5507326869298541,-0.43138951654783075,0.9789613992404879,-0.6469098828867159,0.5129582805574695,0.50712444009798,-0.38300414531254046,0.38257006649880015,0.30177455103950324,-0.36597620530308883,-0.37257638220483186,-0.766646984627614,-1.0262338573564205,-0.9123291372623133,-1.1113786482835193,-0.30344453778898545,0.9756284509213217,-0.7027877961444184,-0.7476499004267158,-0.15592946250695447,1.1380350152093721,0.28226664089833636,-0.6265462861215271,-0.6752815027337519,0.08241695634954527,-0.13169215720397925,-0.10244881875060176,1.6787932629492601,-0.7814625383797009,0.9828377062696325,-0.4389286341730025,-0.5962433391367884,-0.6813229922143834
680,0,0.6314564688994057,-0.33952856803045,-0.6395415247590983,-0.2528959622834494,-1.1440307984500255,1.9100314961462634,0.1410953608602982,2.2182395595782274,-1.3465212125403034,-0.1911600439692061,0.358684780178336,-1.2362182008588614,-1.1092638114565088,1.4615709099050274,0.8447340176288411,0.9116221777952949,-0.26868810003953636,-0.36597620530308883,-0.37257638220483186,-1.0459458860904625,-0.6986862138997277,-1.7223161277681245,0.004398026080313029,0.4554103416255243,-0.6651366624255362,-0.5192017866545676,-0.7476499004267158,-0.458314796963516,0.5005676521228903,0.21645013059865503,-0.24131503490802628,-0.39275372965710004,-0.012739153368714657,-0.6820048203203297,-0.3815012582989739,0.8787263089394739,-1.356617388574017,1.367219938799365,-0.4389286341730025,-0.5962433391367884,-0.8954145017715743
681,0,-0.6534578080985279,0.0815185140026488,0.39520575235401106,-0.32142261012799705,0.274674061166323,-0.9122413796984791,3.5642858851170716,-0.4284740836976165,-0.8858015398184643,0.28929890118804275,-0.6859916308737088,0.27171778924633405,-0.8208687728762458,-0.6382113236704768,-0.6725650327987154,-1.1210517235017645,0.14456043460039786,-0.36597620530308883,-0.37257638220483186,1.1036581590968169,1.495882997260114,0.5679919143517548,-1.08432951678379,0.5109363084119519,-0.4283252027672268,-0.5803971231511846,0.03068628291766451,0.25897134523576854,-0.8009282141786769,-1.2068319046319587,-1.4971689138640385,-0.6281935405543099,-1.075315711889281,0.5697627162048899,-0.27480473729518456,-0.595081237920659,0.701831548963535,-0.8542098465997378,-0.4389286341730025,0.8186223596988217,-0.5535587042528339
